A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_RELRD,A_RU,FATALS,SCH_BUS,STATE,ST_CASE,YEAR
2,2,2,2,2,2,1,4,1,1,0,1,10001,2015
2,2,2,2,2,2,2,3,1,1,0,1,10002,2015
2,2,2,2,2,2,2,4,1,1,0,1,10003,2015
2,2,2,2,2,2,2,4,1,1,0,1,10004,2015
2,2,2,2,1,1,2,1,2,1,0,1,10005,2015
2,2,2,2,2,2,2,4,1,1,0,1,10006,2015
2,2,2,2,2,2,1,4,2,1,0,1,10007,2015
2,2,2,2,2,2,2,1,2,1,0,1,10008,2015
2,2,2,2,2,2,2,4,2,1,0,1,10009,2015
2,2,2,2,2,2,1,1,1,1,0,1,10010,2015
1,1,1,1,1,2,2,1,2,1,0,1,10011,2015
2,2,2,2,1,1,2,1,2,1,0,1,10012,2015
2,2,2,2,2,2,2,1,1,1,0,1,10013,2015
1,1,1,1,1,2,2,4,1,1,0,1,10014,2015
2,2,2,2,2,2,2,4,1,1,0,1,10015,2015
2,2,2,2,2,2,1,1,2,1,0,1,10016,2015
2,2,2,2,2,2,1,4,2,1,0,1,10017,2015
2,2,2,2,2,2,2,4,1,1,0,1,10018,2015
2,2,2,2,1,1,2,1,1,1,0,1,10019,2015
2,2,2,2,2,2,1,1,1,1,0,1,10020,2015
2,2,2,2,2,2,1,1,1,1,0,1,10021,2015
2,2,2,2,2,2,2,3,1,1,0,1,10022,2015
2,2,2,2,2,2,2,4,1,1,0,1,10023,2015
2,2,2,2,2,2,2,4,1,1,0,1,10024,2015
2,2,2,2,2,2,2,4,1,2,0,1,10025,2015
2,2,2,2,2,2,2,4,2,1,0,1,10026,2015
2,2,2,2,2,2,1,1,2,1,0,1,10027,2015
2,2,2,2,2,2,2,4,2,1,0,1,10028,2015
2,2,2,2,1,1,2,4,1,1,0,1,10029,2015
2,2,2,2,2,2,2,1,1,5,0,1,10030,2015
2,2,2,2,2,2,2,1,1,1,0,1,10031,2015
2,2,2,2,2,2,2,4,2,1,0,1,10032,2015
2,2,2,2,2,2,2,4,1,2,0,1,10033,2015
2,2,2,2,2,2,1,1,2,1,0,1,10034,2015
2,2,2,2,2,2,1,1,1,1,0,1,10035,2015
2,2,2,2,1,1,2,1,1,2,0,1,10036,2015
2,2,2,2,2,2,2,4,1,1,0,1,10037,2015
2,2,2,2,2,2,2,4,2,1,0,1,10038,2015
2,2,2,2,2,2,2,4,2,1,0,1,10039,2015
2,2,2,2,1,1,2,1,2,1,0,1,10040,2015
2,2,2,2,2,2,2,1,1,1,0,1,10041,2015
2,2,2,2,2,2,2,1,1,1,0,1,10042,2015
2,2,2,2,2,2,1,4,1,1,0,1,10043,2015
2,2,2,2,2,2,2,3,2,1,0,1,10044,2015
2,2,2,2,2,2,2,4,2,1,0,1,10045,2015
1,1,1,1,1,2,2,4,2,1,0,1,10046,2015
2,2,2,2,2,2,2,4,2,1,0,1,10047,2015
2,2,2,2,1,1,2,4,1,2,0,1,10048,2015
2,2,2,2,2,2,2,1,2,1,0,1,10049,2015
2,2,2,2,2,2,1,1,1,1,0,1,10050,2015
1,1,1,1,1,2,2,1,2,1,0,1,10051,2015
2,2,2,2,2,2,2,4,2,1,0,1,10052,2015
2,2,2,2,2,2,2,4,1,1,0,1,10053,2015
2,2,2,2,2,2,2,1,1,1,0,1,10054,2015
2,2,2,2,2,2,2,1,2,1,0,1,10055,2015
2,2,2,2,1,1,2,4,1,1,0,1,10056,2015
1,1,1,1,1,2,1,1,1,1,0,1,10057,2015
2,2,2,2,2,2,2,1,2,1,0,1,10058,2015
2,2,2,2,2,2,2,1,1,1,0,1,10059,2015
1,1,1,1,1,2,2,1,1,1,0,1,10060,2015
2,2,2,2,2,2,2,1,1,1,0,1,10061,2015
2,2,2,2,1,1,2,4,2,1,0,1,10062,2015
2,2,2,2,2,2,2,4,2,1,0,1,10063,2015
2,2,2,2,2,2,2,1,2,1,0,1,10064,2015
2,2,2,2,2,2,2,1,1,1,0,1,10065,2015
2,2,2,2,1,1,2,3,2,1,0,1,10066,2015
1,1,1,1,1,2,1,1,2,1,0,1,10067,2015
2,2,2,2,2,2,2,4,1,1,0,1,10068,2015
2,2,2,2,1,1,2,1,2,1,0,1,10069,2015
2,2,2,2,2,2,2,4,1,1,0,1,10070,2015
1,1,1,1,1,2,2,1,2,1,0,1,10071,2015
2,2,2,2,2,2,2,1,2,1,0,1,10072,2015
2,2,2,2,2,2,2,1,2,1,0,1,10073,2015
2,2,2,2,2,2,2,3,2,1,0,1,10074,2015
2,2,2,2,2,2,1,1,1,1,0,1,10075,2015
2,2,2,2,2,2,2,4,1,1,0,1,10076,2015
2,2,2,2,2,2,2,1,2,1,0,1,10077,2015
2,2,2,2,2,2,2,1,2,1,0,1,10078,2015
2,2,2,2,2,2,2,3,2,1,0,1,10079,2015
1,1,1,1,1,2,2,4,1,1,0,1,10080,2015
2,2,2,2,2,2,2,1,1,1,0,1,10081,2015
2,2,2,2,2,2,2,4,2,1,0,1,10082,2015
2,2,2,2,2,2,2,1,1,4,0,1,10083,2015
2,2,2,2,2,2,1,1,2,1,0,1,10084,2015
2,2,2,2,2,2,2,4,1,1,0,1,10085,2015
1,1,2,2,2,2,2,1,2,1,0,1,10086,2015
2,2,2,2,2,2,1,4,1,2,0,1,10087,2015
