AGE,PER_NO,SEX,STATE,ST_CASE,YEAR
20,1,1,1,10010,2017
28,1,1,1,10040,2017
14,1,1,1,10046,2017
29,1,1,1,10053,2017
60,1,1,1,10066,2017
54,1,2,1,10078,2017
31,2,1,1,10079,2017
59,3,2,1,10079,2017
28,1,1,1,10087,2017
24,1,2,1,10089,2017
55,1,2,1,10097,2017
15,1,2,1,10100,2017
41,1,2,1,10116,2017
55,1,1,1,10118,2017
8,1,2,1,10131,2017
24,1,1,1,10134,2017
41,2,2,1,10134,2017
70,1,2,1,10135,2017
33,1,2,1,10138,2017
16,1,2,1,10142,2017
35,1,2,1,10143,2017
50,1,1,1,10147,2017
27,2,2,1,10147,2017
54,1,1,1,10152,2017
74,1,1,1,10157,2017
42,1,2,1,10159,2017
43,1,1,1,10160,2017
56,1,1,1,10165,2017
61,1,1,1,10179,2017
25,1,2,1,10191,2017
32,1,2,1,10208,2017
49,1,1,1,10221,2017
36,1,1,1,10226,2017
88,1,1,1,10245,2017
36,1,2,1,10250,2017
70,1,1,1,10253,2017
51,1,2,1,10260,2017
60,1,1,1,10264,2017
32,1,1,1,10268,2017
39,1,1,1,10273,2017
67,1,1,1,10277,2017
75,1,2,1,10289,2017
26,1,1,1,10290,2017
76,2,2,1,10295,2017
27,1,2,1,10316,2017
73,1,1,1,10324,2017
22,1,1,1,10337,2017
34,1,2,1,10341,2017
69,1,1,1,10345,2017
46,1,1,1,10360,2017
80,1,1,1,10372,2017
47,1,1,1,10379,2017
1,1,1,1,10408,2017
62,1,1,1,10417,2017
23,1,1,1,10453,2017
50,1,2,1,10459,2017
46,1,1,1,10466,2017
50,1,1,1,10467,2017
48,1,2,1,10475,2017
50,1,2,1,10490,2017
59,1,1,1,10491,2017
37,1,2,1,10508,2017
66,1,1,1,10515,2017
49,1,1,1,10530,2017
54,1,1,1,10531,2017
90,1,2,1,10536,2017
26,1,1,1,10538,2017
3,1,1,1,10573,2017
21,1,1,1,10583,2017
18,1,1,1,10591,2017
18,1,1,1,10592,2017
41,1,1,1,10617,2017
53,1,1,1,10619,2017
37,1,2,1,10622,2017
67,1,2,1,10623,2017
27,1,1,1,10624,2017
35,1,1,1,10625,2017
54,1,1,1,10634,2017
56,1,1,1,10661,2017
21,1,1,1,10670,2017
57,1,2,1,10675,2017
38,1,1,1,10677,2017
40,1,1,1,10686,2017
70,1,1,1,10692,2017
70,1,1,1,10697,2017
25,1,1,1,10703,2017
56,1,1,1,10715,2017
54,1,1,1,10719,2017
44,1,1,1,10720,2017
41,1,1,1,10731,2017
27,1,2,1,10738,2017
26,1,1,1,10746,2017
18,1,2,1,10750,2017
53,1,2,1,10751,2017
38,1,2,1,10752,2017
63,1,1,1,10760,2017
77,1,1,1,10767,2017
39,1,1,1,10777,2017
27,1,1,1,10782,2017
63,1,1,1,10790,2017
30,1,2,1,10807,2017
46,1,1,1,10811,2017
74,1,1,1,10812,2017
58,1,1,1,10816,2017
33,1,1,1,10817,2017
55,1,1,1,10819,2017
41,1,1,1,10823,2017
25,1,1,1,10827,2017
36,1,1,1,10828,2017
67,1,2,1,10830,2017
34,1,2,1,10832,2017
73,1,2,1,10834,2017
62,1,1,1,10841,2017
75,1,2,1,10849,2017
51,1,1,1,10850,2017
52,1,1,1,10853,2017
39,1,1,1,10862,2017
73,1,2,1,10868,2017
51,1,1,1,10873,2017
21,1,2,2,20001,2017
40,1,2,2,20004,2017
22,1,2,2,20009,2017
55,1,1,2,20011,2017
26,1,2,2,20016,2017
47,1,2,2,20018,2017
24,1,1,2,20029,2017
59,1,1,2,20053,2017
54,1,1,2,20055,2017
49,1,2,2,20057,2017
49,1,1,2,20061,2017
43,1,2,2,20063,2017
22,1,1,2,20065,2017
68,1,1,2,20073,2017
54,1,1,4,40016,2017
49,1,1,4,40021,2017
37,1,2,4,40024,2017
25,1,1,4,40028,2017
83,1,1,4,40032,2017
21,1,1,4,40034,2017
59,1,1,4,40044,2017
48,1,2,4,40047,2017
31,1,1,4,40048,2017
27,1,2,4,40050,2017
47,1,2,4,40055,2017
80,1,1,4,40058,2017
25,1,2,4,40059,2017
57,1,1,4,40060,2017
19,1,1,4,40062,2017
24,1,1,4,40063,2017
53,1,1,4,40064,2017
40,1,1,4,40067,2017
27,1,1,4,40068,2017
63,1,1,4,40070,2017
21,1,2,4,40073,2017
63,1,1,4,40075,2017
35,1,1,4,40077,2017
29,1,2,4,40084,2017
39,1,1,4,40088,2017
28,1,2,4,40093,2017
37,1,1,4,40099,2017
48,1,1,4,40103,2017
7,1,1,4,40105,2017
50,1,1,4,40107,2017
85,1,1,4,40111,2017
31,1,1,4,40114,2017
21,1,1,4,40117,2017
60,1,1,4,40121,2017
26,1,2,4,40122,2017
54,1,1,4,40124,2017
71,1,2,4,40125,2017
65,1,1,4,40126,2017
58,1,1,4,40133,2017
83,1,1,4,40137,2017
50,1,1,4,40138,2017
57,1,2,4,40139,2017
26,1,1,4,40149,2017
74,1,1,4,40161,2017
23,1,1,4,40163,2017
42,1,1,4,40167,2017
19,1,2,4,40168,2017
64,1,1,4,40173,2017
20,1,2,4,40178,2017
49,1,2,4,40188,2017
52,1,1,4,40196,2017
44,1,1,4,40200,2017
49,1,1,4,40201,2017
998,1,2,4,40205,2017
53,1,1,4,40206,2017
88,1,2,4,40210,2017
53,1,1,4,40213,2017
40,1,2,4,40220,2017
49,1,2,4,40225,2017
25,1,1,4,40237,2017
74,1,2,4,40241,2017
17,1,2,4,40250,2017
7,2,1,4,40250,2017
53,1,2,4,40255,2017
38,2,1,4,40255,2017
64,1,1,4,40265,2017
65,1,1,4,40268,2017
22,1,1,4,40270,2017
46,1,2,4,40272,2017
47,1,1,4,40275,2017
34,1,1,4,40288,2017
61,1,2,4,40303,2017
39,1,2,4,40308,2017
27,1,1,4,40316,2017
65,1,1,4,40317,2017
69,1,1,4,40323,2017
61,1,1,4,40335,2017
52,1,1,4,40355,2017
39,1,2,4,40356,2017
19,1,2,4,40360,2017
54,1,1,4,40361,2017
39,1,2,4,40366,2017
51,1,1,4,40368,2017
47,1,1,4,40369,2017
57,1,1,4,40377,2017
85,1,2,4,40386,2017
18,1,1,4,40387,2017
58,1,2,4,40389,2017
82,1,1,4,40396,2017
26,1,1,4,40404,2017
29,1,1,4,40407,2017
26,1,1,4,40408,2017
49,1,1,4,40409,2017
43,1,2,4,40411,2017
62,1,1,4,40413,2017
47,1,2,4,40414,2017
29,1,1,4,40415,2017
52,1,2,4,40422,2017
52,1,1,4,40426,2017
30,1,2,4,40431,2017
70,1,1,4,40432,2017
82,1,1,4,40433,2017
64,1,1,4,40436,2017
25,1,1,4,40440,2017
50,1,1,4,40441,2017
48,1,1,4,40443,2017
57,1,1,4,40454,2017
22,1,1,4,40456,2017
58,1,1,4,40468,2017
57,1,1,4,40469,2017
25,1,1,4,40477,2017
35,1,1,4,40487,2017
53,1,1,4,40490,2017
31,1,1,4,40494,2017
70,1,1,4,40498,2017
39,1,1,4,40501,2017
36,1,2,4,40503,2017
53,1,1,4,40539,2017
38,1,1,4,40540,2017
55,1,1,4,40555,2017
17,1,2,4,40562,2017
66,1,1,4,40563,2017
61,1,1,4,40565,2017
23,1,1,4,40568,2017
70,1,1,4,40579,2017
32,1,2,4,40594,2017
56,1,2,4,40609,2017
18,1,2,4,40612,2017
29,1,1,4,40615,2017
27,1,1,4,40617,2017
46,1,2,4,40619,2017
74,1,2,4,40621,2017
61,1,1,4,40623,2017
18,1,1,4,40627,2017
67,1,1,4,40645,2017
31,1,1,4,40650,2017
48,1,1,4,40655,2017
29,1,2,4,40659,2017
87,1,1,4,40663,2017
75,1,1,4,40666,2017
70,1,1,4,40675,2017
66,1,1,4,40676,2017
15,1,2,4,40680,2017
40,1,2,4,40684,2017
19,1,2,4,40686,2017
77,1,1,4,40690,2017
48,1,1,4,40696,2017
41,1,2,4,40701,2017
46,1,1,4,40703,2017
58,1,1,4,40708,2017
45,1,1,4,40718,2017
37,1,2,4,40719,2017
30,1,1,4,40729,2017
76,1,2,4,40731,2017
85,1,1,4,40733,2017
29,1,2,4,40734,2017
50,1,1,4,40735,2017
53,1,2,4,40742,2017
22,1,1,4,40743,2017
35,1,1,4,40745,2017
64,1,1,4,40748,2017
53,1,1,4,40749,2017
52,1,2,4,40753,2017
55,1,1,4,40754,2017
40,1,1,4,40756,2017
42,1,2,4,40757,2017
6,1,2,4,40758,2017
50,1,1,4,40760,2017
79,1,1,4,40761,2017
49,1,1,4,40763,2017
50,1,1,4,40768,2017
77,1,1,4,40774,2017
84,1,1,4,40775,2017
46,2,2,4,40776,2017
79,1,2,4,40781,2017
28,1,1,4,40785,2017
65,1,1,4,40793,2017
72,1,1,4,40796,2017
43,1,2,4,40799,2017
34,1,1,4,40814,2017
44,1,2,4,40833,2017
21,1,2,4,40835,2017
25,1,2,4,40839,2017
36,1,2,4,40844,2017
22,1,1,4,40846,2017
15,1,2,4,40847,2017
22,1,1,4,40848,2017
76,1,1,4,40851,2017
36,1,2,4,40852,2017
15,1,1,4,40854,2017
17,2,1,4,40854,2017
45,1,1,4,40855,2017
23,1,1,4,40860,2017
74,1,2,4,40862,2017
43,1,2,4,40868,2017
22,1,1,4,40873,2017
65,1,1,4,40876,2017
51,1,1,4,40882,2017
26,1,1,4,40893,2017
57,1,1,4,40904,2017
68,1,1,4,40907,2017
43,1,1,4,40914,2017
23,1,1,4,40922,2017
32,1,1,4,40928,2017
55,1,2,4,40932,2017
57,1,1,4,40934,2017
61,1,1,4,40937,2017
53,1,2,4,40938,2017
35,1,1,4,40940,2017
58,1,2,4,40942,2017
56,1,1,4,40943,2017
1,1,1,4,40946,2017
25,1,1,4,40952,2017
28,1,2,5,50005,2017
20,1,1,5,50015,2017
51,1,1,5,50073,2017
84,1,2,5,50082,2017
18,1,1,5,50110,2017
24,1,2,5,50123,2017
68,1,1,5,50130,2017
54,1,1,5,50132,2017
70,1,2,5,50136,2017
51,1,1,5,50144,2017
60,1,1,5,50148,2017
33,1,1,5,50152,2017
53,1,1,5,50155,2017
56,1,1,5,50160,2017
55,1,2,5,50174,2017
17,1,1,5,50177,2017
20,1,1,5,50184,2017
54,1,1,5,50194,2017
87,1,1,5,50197,2017
49,1,1,5,50202,2017
51,1,1,5,50215,2017
41,1,1,5,50256,2017
34,1,1,5,50260,2017
37,1,2,5,50265,2017
56,1,2,5,50270,2017
45,1,1,5,50272,2017
45,1,2,5,50278,2017
36,1,1,5,50280,2017
61,1,1,5,50313,2017
77,1,1,5,50316,2017
18,1,1,5,50319,2017
59,1,1,5,50350,2017
50,1,1,5,50367,2017
39,1,1,5,50369,2017
37,1,1,5,50389,2017
41,1,1,5,50402,2017
11,1,1,5,50408,2017
49,1,2,5,50411,2017
25,1,2,5,50412,2017
17,1,2,5,50425,2017
45,1,1,5,50453,2017
58,1,1,5,50456,2017
56,1,1,5,50482,2017
34,1,1,5,50488,2017
24,1,2,5,50491,2017
48,1,1,5,50492,2017
61,1,1,5,50496,2017
40,1,2,6,60006,2017
