A_CT,A_D15_19,A_D15_20,A_D16_19,A_D16_20,A_D16_24,A_D21_24,A_D65PLS,A_LT,A_MC,A_PED,A_PEDAL,A_PEDAL_F,A_PED_F,A_RD,A_RELRD,FATALS,SCH_BUS,STATE,STATENAME,ST_CASE,YEAR
1,2,2,2,2,2,2,2,1,2,2,2,2,2,1,2,1,0,1,Alabama,10001,2018
1,2,2,2,2,1,1,2,2,2,2,2,2,2,1,3,2,0,1,Alabama,10002,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,4,1,0,1,Alabama,10003,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10004,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10005,2018
1,2,2,2,2,1,1,2,2,2,1,2,2,1,1,2,1,0,1,Alabama,10006,2018
1,2,2,2,2,2,2,1,2,2,1,2,2,1,2,1,1,0,1,Alabama,10007,2018
2,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10008,2018
1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,4,1,0,1,Alabama,10009,2018
1,2,2,2,2,1,1,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10010,2018
3,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10011,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,1,0,1,Alabama,10012,2018
3,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,2,0,1,Alabama,10013,2018
2,2,2,2,2,1,1,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10014,2018
1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,4,1,0,1,Alabama,10015,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10016,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10017,2018
2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,1,1,0,1,Alabama,10018,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10019,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10020,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10021,2018
2,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10022,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10023,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10024,2018
2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,0,1,Alabama,10025,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10026,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10027,2018
2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,0,1,Alabama,10028,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10029,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,1,1,1,0,1,Alabama,10030,2018
2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,1,1,0,1,Alabama,10031,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10032,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10033,2018
1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,0,1,Alabama,10034,2018
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,1,0,1,Alabama,10035,2018
1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10036,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10037,2018
1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,4,1,0,1,Alabama,10038,2018
